recode_id,PUBCHEM_SUBSTANCE_URL,LIPID_MAPS_CMPD_URL,LM_ID,COMMON_NAME,CATEGORY,MAIN_CLASS,SUB_CLASS,CHEBI_ID,INCHI_KEY,INCHI,STATUS,SYSTEMATIC_NAME,SYNONYMS,EXACT_MASS,FORMULA,LIPIDBANK_ID,PUBCHEM_SID,PUBCHEM_CID,KEGG_ID,HMDBID
LMST01010010,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?sid=4266371,http://www.lipidmaps.org/data/LMSDRecord.php?LMID=LMST01010010,LMST01010010,"5beta,6beta-epoxy-cholesterol",Sterol Lipids [ST],Sterols [ST01],Cholesterol and derivatives [ST0101],28164,PRYIJAGAEJZDBO-DTLXENBRSA-N,"InChI=1S/C27H46O2/c1-17(2)7-6-8-18(3)21-9-10-22-20-15-24-27(29-24)16-19(28)11-14-26(27,5)23(20)12-13-25(21,22)4/h17-24,28H,6-16H2,1-5H3/t18-,19+,20+,21-,22+,23+,24-,25-,26-,27-/m1/s1",Active,"5beta,6beta-epoxy-cholestan-3beta-ol","5beta,6beta-epoxy-cholestanol",402.349781,C27H46O2,SST9036,4266371,108109,,
LMST01010011,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?sid=4266372,http://www.lipidmaps.org/data/LMSDRecord.php?LMID=LMST01010011,LMST01010011,"5,6alpha-epoxy-cholesterol",Sterol Lipids [ST],Sterols [ST01],Cholesterol and derivatives [ST0101],49305,PRYIJAGAEJZDBO-ZEQHCUNVSA-N,"InChI=1S/C27H46O2/c1-17(2)7-6-8-18(3)21-9-10-22-20-15-24-27(29-24)16-19(28)11-14-26(27,5)23(20)12-13-25(21,22)4/h17-24,28H,6-16H2,1-5H3/t18-,19+,20+,21-,22+,23+,24+,25-,26-,27+/m1/s1",Active,"5alpha,6alpha-epoxy-5alpha-cholestan-3beta-ol","5,6alpha-epoxy-cholestanol",402.349781,C27H46O2,SST9035,4266372,227037,,
LMST01010012,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?sid=4266373,http://www.lipidmaps.org/data/LMSDRecord.php?LMID=LMST01010012,LMST01010012,"24,25-epoxy-cholesterol",Sterol Lipids [ST],Sterols [ST01],Cholesterol and derivatives [ST0101],,OSENKJZWYQXHBN-XVYZBDJZSA-N,"InChI=1S/C27H44O2/c1-17(6-11-24-25(2,3)29-24)21-9-10-22-20-8-7-18-16-19(28)12-14-26(18,4)23(20)13-15-27(21,22)5/h7,17,19-24,28H,6,8-16H2,1-5H3/t17-,19+,20+,21-,22+,23+,24+,26+,27-/m1/s1",Active,"24S,25-epoxy-cholest-5-en-3beta-ol","24S,25-epoxy-cholesterol",400.334131,C27H44O2,SST0209,4266373,3247059,,
LMST01010013,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?sid=4266374,http://www.lipidmaps.org/data/LMSDRecord.php?LMID=LMST01010013,LMST01010013,7alpha-hydroxy-cholesterol,Sterol Lipids [ST],Sterols [ST01],Cholesterol and derivatives [ST0101],17500,OYXZMSRRJOYLLO-RVOWOUOISA-N,"InChI=1S/C27H46O2/c1-17(2)7-6-8-18(3)21-9-10-22-25-23(12-14-27(21,22)5)26(4)13-11-20(28)15-19(26)16-24(25)29/h16-18,20-25,28-29H,6-15H2,1-5H3/t18-,20+,21-,22+,23+,24-,25+,26+,27-/m1/s1",Active,"cholest-5-en-3beta,7alpha-diol",,402.349781,C27H46O2,SST9032,4266374,107722,C03594,HMDB01496
LMST01010014,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?sid=4266375,http://www.lipidmaps.org/data/LMSDRecord.php?LMID=LMST01010014,LMST01010014,4beta-hydroxy-cholesterol,Sterol Lipids [ST],Sterols [ST01],Cholesterol and derivatives [ST0101],,CZDKQKOAHAICSF-JSAMMMMSSA-N,"InChI=1S/C27H46O2/c1-17(2)7-6-8-18(3)20-11-12-21-19-9-10-23-25(29)24(28)14-16-27(23,5)22(19)13-15-26(20,21)4/h10,17-22,24-25,28-29H,6-9,11-16H2,1-5H3/t18-,19+,20-,21+,22+,24+,25-,26-,27-/m1/s1",Active,"cholest-5-en-3beta,4beta-diol",,402.349781,C27H46O2,,4266375,3247060,,
LMST01010015,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?sid=4266376,http://www.lipidmaps.org/data/LMSDRecord.php?LMID=LMST01010015,LMST01010015,Cholestenone,Sterol Lipids [ST],Sterols [ST01],Cholesterol and derivatives [ST0101],16175,NYOXRYYXRWJDKP-GYKMGIIDSA-N,"InChI=1S/C27H44O/c1-18(2)7-6-8-19(3)23-11-12-24-22-10-9-20-17-21(28)13-15-26(20,4)25(22)14-16-27(23,24)5/h17-19,22-25H,6-16H2,1-5H3/t19-,22+,23-,24+,25+,26+,27-/m1/s1",Active,cholest-4-en-3-one,Cholestenone (delta 4),384.339216,C27H44O,SST9045,4266376,91477,C00599,HMDB00921
LMST01010016,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?sid=4266377,http://www.lipidmaps.org/data/LMSDRecord.php?LMID=LMST01010016,LMST01010016,Desmosterol,Sterol Lipids [ST],Sterols [ST01],Cholesterol and derivatives [ST0101],17737,AVSXSVCZWQODGV-DPAQBDIFSA-N,"InChI=1S/C27H44O/c1-18(2)7-6-8-19(3)23-11-12-24-22-10-9-20-17-21(28)13-15-26(20,4)25(22)14-16-27(23,24)5/h7,9,19,21-25,28H,6,8,10-17H2,1-5H3/t19-,21+,22+,23-,24+,25+,26+,27-/m1/s1",Active,"cholest-5,24-dien-3beta-ol",,384.339216,C27H44O,SST9090,4266377,439577,C01802,HMDB02719
LMST01010017,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?sid=4266378,http://www.lipidmaps.org/data/LMSDRecord.php?LMID=LMST01010017,LMST01010017,Lanosterol,Sterol Lipids [ST],Sterols [ST01],Cholesterol and derivatives [ST0101],16521,CAHGCLMLTWQZNJ-BQNIITSRSA-N,"InChI=1S/C30H50O/c1-20(2)10-9-11-21(3)22-14-18-30(8)24-12-13-25-27(4,5)26(31)16-17-28(25,6)23(24)15-19-29(22,30)7/h10,21-22,25-26,31H,9,11-19H2,1-8H3/t21-,22-,25+,26+,28-,29-,30+/m1/s1",Active,"lanosta-8,24-dien-3beta-ol",,426.386166,C30H50O,SST9081,4266378,246983,C01724,HMDB01251
LMST01010018,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?sid=7850677,http://www.lipidmaps.org/data/LMSDRecord.php?LMID=LMST01010018,LMST01010018,25-hydroxy-cholesterol,Sterol Lipids [ST],Sterols [ST01],Cholesterol and derivatives [ST0101],37616,INBGSXNNRGWLJU-ZHHJOTBYSA-N,"InChI=1S/C27H46O2/c1-18(7-6-14-25(2,3)29)22-10-11-23-21-9-8-19-17-20(28)12-15-26(19,4)24(21)13-16-27(22,23)5/h8,18,20-24,28-29H,6-7,9-17H2,1-5H3/t18-,20+,21+,22-,23+,24+,26+,27-/m1/s1",Active,"cholest-5-en-3beta,25-diol",25-OHC,402.349781,C27H46O2,SST0081,7850677,65094,C15519,HMDB06247
LMST01010019,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?sid=7850678,http://www.lipidmaps.org/data/LMSDRecord.php?LMID=LMST01010019,LMST01010019,24S-hydroxy-cholesterol,Sterol Lipids [ST],Sterols [ST01],Cholesterol and derivatives [ST0101],34310,IOWMKBFJCNLRTC-XWXSNNQWSA-N,"InChI=1S/C27H46O2/c1-17(2)25(29)11-6-18(3)22-9-10-23-21-8-7-19-16-20(28)12-14-26(19,4)24(21)13-15-27(22,23)5/h7,17-18,20-25,28-29H,6,8-16H2,1-5H3/t18-,20+,21+,22-,23+,24+,25+,26+,27-/m1/s1",Active,"cholest-5-en-3beta,24S-diol",,402.349781,C27H46O2,SST9004,7850678,121948,C13550,HMDB01419
LMST01010047,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?sid=7850680,http://www.lipidmaps.org/data/LMSDRecord.php?LMID=LMST01010047,LMST01010047,7beta-hydroxycholesterol,Sterol Lipids [ST],Sterols [ST01],Cholesterol and derivatives [ST0101],42989,OYXZMSRRJOYLLO-KGZHIOMZSA-N,"InChI=1S/C27H46O2/c1-17(2)7-6-8-18(3)21-9-10-22-25-23(12-14-27(21,22)5)26(4)13-11-20(28)15-19(26)16-24(25)29/h16-18,20-25,28-29H,6-15H2,1-5H3/t18-,20+,21-,22+,23+,24+,25+,26+,27-/m1/s1",Active,"5-cholestene-3beta,7beta-diol",,402.349781,C27H46O2,SST9033,7850680,473141,,HMDB06119
LMST01010049,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?sid=7850681,http://www.lipidmaps.org/data/LMSDRecord.php?LMID=LMST01010049,LMST01010049,7-oxo-cholesterol,Sterol Lipids [ST],Sterols [ST01],Cholesterol and derivatives [ST0101],,YIKKMWSQVKJCOP-ABXCMAEBSA-N,"InChI=1S/C27H44O2/c1-17(2)7-6-8-18(3)21-9-10-22-25-23(12-14-27(21,22)5)26(4)13-11-20(28)15-19(26)16-24(25)29/h16-18,20-23,25,28H,6-15H2,1-5H3/t18-,20+,21-,22+,23+,25+,26+,27-/m1/s1",Active,7-oxo-cholest-5-en-3beta-ol,7-keto-cholesterol; 7-kChol,400.334131,C27H44O2,SST9034,7850681,91474,,HMDB00501
LMST01010052,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?sid=7850682,http://www.lipidmaps.org/data/LMSDRecord.php?LMID=LMST01010052,LMST01010052,"5alpha,6beta-dihydroxycholestanol",Sterol Lipids [ST],Sterols [ST01],Cholesterol and derivatives [ST0101],28082,YMMFNKXZULYSOQ-RUXQDQFYSA-N,"InChI=1S/C27H48O3/c1-17(2)7-6-8-18(3)21-9-10-22-20-15-24(29)27(30)16-19(28)11-14-26(27,5)23(20)12-13-25(21,22)4/h17-24,28-30H,6-16H2,1-5H3/t18-,19+,20+,21-,22+,23+,24-,25-,26-,27+/m1/s1",Active,"cholestane-3beta,5alpha,6beta-triol",,420.360346,C27H48O3,SST9037,7850682,91498,C05425,HMDB03990
LMST01010054,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?sid=7850684,http://www.lipidmaps.org/data/LMSDRecord.php?LMID=LMST01010054,LMST01010054,22-hydroxycholesterol,Sterol Lipids [ST],Sterols [ST01],Cholesterol and derivatives [ST0101],,RZPAXNJLEKLXNO-UKNNTIGFSA-N,"InChI=1S/C27H46O2/c1-17(2)6-11-25(29)18(3)22-9-10-23-21-8-7-19-16-20(28)12-14-26(19,4)24(21)13-15-27(22,23)5/h7,17-18,20-25,28-29H,6,8-16H2,1-5H3/t18-,20-,21-,22+,23-,24-,25?,26-,27+/m0/s1",Active,"cholest-5-en-3beta,22-diol",,402.349781,C27H46O2,SST9039,7850684,107724,,
LMST01010057,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?sid=7850685,http://www.lipidmaps.org/data/LMSDRecord.php?LMID=LMST01010057,LMST01010057,27-hydroxy-cholesterol,Sterol Lipids [ST],Sterols [ST01],Cholesterol and derivatives [ST0101],16546,FYHRJWMENCALJY-CCDZVGGQSA-N,"InChI=1S/C27H46O2/c1-18(17-28)6-5-7-19(2)23-10-11-24-22-9-8-20-16-21(29)12-14-26(20,3)25(22)13-15-27(23,24)4/h8,18-19,21-25,28-29H,5-7,9-17H2,1-4H3/t18?,19-,21+,22+,23-,24+,25+,26+,27-/m1/s1",Active,"cholest-5-en-3beta,26-diol",26-hydroxy-cholesterol,402.349781,C27H46O2,SST9042,7850685,99470,C06340,HMDB02103
LMST01010058,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?sid=7850686,http://www.lipidmaps.org/data/LMSDRecord.php?LMID=LMST01010058,LMST01010058,"3,5-cholestadien-7-one",Sterol Lipids [ST],Sterols [ST01],Cholesterol and derivatives [ST0101],,TTXJJFWWNDJDNR-CZRUWHASSA-N,"InChI=1S/C27H42O/c1-18(2)9-8-10-19(3)21-12-13-22-25-23(14-16-27(21,22)5)26(4)15-7-6-11-20(26)17-24(25)28/h6,11,17-19,21-23,25H,7-10,12-16H2,1-5H3/t19-,21-,22+,23+,25+,26+,27-/m1/s1",Active,"cholesta-3,5-dien-7-one",,382.323566,C27H42O,SST9043,7850686,5283627,,
LMST01010059,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?sid=7850687,http://www.lipidmaps.org/data/LMSDRecord.php?LMID=LMST01010059,LMST01010059,"4,6-cholestadienone",Sterol Lipids [ST],Sterols [ST01],Cholesterol and derivatives [ST0101],,XIWMRKFKSRYSIJ-GYKMGIIDSA-N,"InChI=1S/C27H42O/c1-18(2)7-6-8-19(3)23-11-12-24-22-10-9-20-17-21(28)13-15-26(20,4)25(22)14-16-27(23,24)5/h9-10,17-19,22-25H,6-8,11-16H2,1-5H3/t19-,22+,23-,24+,25+,26+,27-/m1/s1",Active,"cholesta-4,6-dien-3-one",,382.323566,C27H42O,SST9044,7850687,3034666,,HMDB02394
LMST01010066,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?sid=7850689,http://www.lipidmaps.org/data/LMSDRecord.php?LMID=LMST01010066,LMST01010066,Zymosterol,Sterol Lipids [ST],Sterols [ST01],Cholesterol and derivatives [ST0101],18252,CGSJXLIKVBJVRY-XTGBIJOFSA-N,"InChI=1S/C27H44O/c1-18(2)7-6-8-19(3)23-11-12-24-22-10-9-20-17-21(28)13-15-26(20,4)25(22)14-16-27(23,24)5/h7,19-21,23-24,28H,6,8-17H2,1-5H3/t19-,20+,21+,23-,24+,26+,27-/m1/s1",Active,"5alpha-cholesta-8,24-dien-3beta-ol",,384.339216,C27H44O,SST9103,7850689,92746,C05437,HMDB06271
LMST01010069,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?sid=7850692,http://www.lipidmaps.org/data/LMSDRecord.php?LMID=LMST01010069,LMST01010069,7-dehydrocholesterol,Sterol Lipids [ST],Sterols [ST01],Cholesterol and derivatives [ST0101],17759,UCTLRSWJYQTBFZ-DDPQNLDTSA-N,"InChI=1S/C27H44O/c1-18(2)7-6-8-19(3)23-11-12-24-22-10-9-20-17-21(28)13-15-26(20,4)25(22)14-16-27(23,24)5/h9-10,18-19,21,23-25,28H,6-8,11-17H2,1-5H3/t19-,21+,23-,24+,25+,26+,27-/m1/s1",Active,"cholesta-5,7-dien-3beta-ol",7-DHC,384.339216,C27H44O,VVD0245,7850692,439423,C01164,HMDB00032
LMST01010077,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?sid=7850693,http://www.lipidmaps.org/data/LMSDRecord.php?LMID=LMST01010077,LMST01010077,Dihydrocholesterol,Sterol Lipids [ST],Sterols [ST01],Cholesterol and derivatives [ST0101],,QYIXCDOBOSTCEI-QCYZZNICSA-N,"InChI=1S/C27H48O/c1-18(2)7-6-8-19(3)23-11-12-24-22-10-9-20-17-21(28)13-15-26(20,4)25(22)14-16-27(23,24)5/h18-25,28H,6-17H2,1-5H3/t19-,20+,21+,22+,23-,24+,25+,26+,27-/m1/s1",Active,cholestan-3beta-ol,,388.370516,C27H48O,SST0005,7850693,6665,,HMDB00908
LMST01010078,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?sid=7850694,http://www.lipidmaps.org/data/LMSDRecord.php?LMID=LMST01010078,LMST01010078,Coprostanol,Sterol Lipids [ST],Sterols [ST01],Cholesterol and derivatives [ST0101],,QYIXCDOBOSTCEI-NWKZBHTNSA-N,"InChI=1S/C27H48O/c1-18(2)7-6-8-19(3)23-11-12-24-22-10-9-20-17-21(28)13-15-26(20,4)25(22)14-16-27(23,24)5/h18-25,28H,6-17H2,1-5H3/t19-,20-,21+,22+,23-,24+,25+,26+,27-/m1/s1",Active,5beta-cholestan-3beta-ol,Coprosterol,388.370516,C27H48O,SST0006,7850694,221122,,HMDB00577
LMST01010081,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?sid=7850696,http://www.lipidmaps.org/data/LMSDRecord.php?LMID=LMST01010081,LMST01010081,,Sterol Lipids [ST],Sterols [ST01],Cholesterol and derivatives [ST0101],16113,HVYWMOMLDIMFJA-VEIPTCAHSA-N,"InChI=1S/C27H46O/c1-18(2)7-6-8-19(3)23-11-12-24-22-10-9-20-17-21(28)13-15-26(20,4)25(22)14-16-27(23,24)5/h9,18-19,21-25,28H,6-8,10-17H2,1-5H3/t19-,21-,22+,23-,24+,25+,26+,27-/m1/s1",Active,cholest-5-en-3alpha-ol,,386.354866,C27H46O,SST0061,7850696,5283629,C00187,HMDB00067
LMST01010085,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?sid=7850697,http://www.lipidmaps.org/data/LMSDRecord.php?LMID=LMST01010085,LMST01010085,,Sterol Lipids [ST],Sterols [ST01],Cholesterol and derivatives [ST0101],35517,XIIAYQZJNBULGD-CJPSHIORSA-N,"InChI=1S/C27H48/c1-19(2)9-8-10-20(3)23-14-15-24-22-13-12-21-11-6-7-17-26(21,4)25(22)16-18-27(23,24)5/h19-25H,6-18H2,1-5H3/t20-,21+,22+,23-,24+,25+,26+,27-/m1/s1",Active,5beta-cholestane,,372.375601,C27H48,SST0167,7850697,5283630,,
LMST01010086,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?sid=7983970,http://www.lipidmaps.org/data/LMSDRecord.php?LMID=LMST01010086,LMST01010086,22R-hydroxycholesterol,Sterol Lipids [ST],Sterols [ST01],Cholesterol and derivatives [ST0101],,RZPAXNJLEKLXNO-GFKLAVDKSA-N,"InChI=1S/C27H46O2/c1-17(2)6-11-25(29)18(3)22-9-10-23-21-8-7-19-16-20(28)12-14-26(19,4)24(21)13-15-27(22,23)5/h7,17-18,20-25,28-29H,6,8-16H2,1-5H3/t18-,20-,21-,22+,23-,24-,25+,26-,27+/m0/s1",Active,"cholest-5-en-3beta,22R-diol",,402.349781,C27H46O2,,7983970,167685,C05502,HMDB04035
LMST01010087,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?sid=7983971,http://www.lipidmaps.org/data/LMSDRecord.php?LMID=LMST01010087,LMST01010087,"24,25-dihydrolanosterol",Sterol Lipids [ST],Sterols [ST01],Cholesterol and derivatives [ST0101],28113,MBZYKEVPFYHDOH-BQNIITSRSA-N,"InChI=1S/C30H52O/c1-20(2)10-9-11-21(3)22-14-18-30(8)24-12-13-25-27(4,5)26(31)16-17-28(25,6)23(24)15-19-29(22,30)7/h20-22,25-26,31H,9-19H2,1-8H3/t21-,22-,25+,26+,28-,29-,30+/m1/s1",Active,5alpha-lanost-8-en-3beta-ol,24-dihydrolanosterol,428.401816,C30H52O,SST9114,7983971,440560,C05109,HMDB06839
LMST01010088,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?sid=7983972,http://www.lipidmaps.org/data/LMSDRecord.php?LMID=LMST01010088,LMST01010088,27-hydroxy-cholesterol(25R),Sterol Lipids [ST],Sterols [ST01],Cholesterol and derivatives [ST0101],16546,FYHRJWMENCALJY-YSQMORBQSA-N,"InChI=1S/C27H46O2/c1-18(17-28)6-5-7-19(2)23-10-11-24-22-9-8-20-16-21(29)12-14-26(20,3)25(22)13-15-27(23,24)4/h8,18-19,21-25,28-29H,5-7,9-17H2,1-4H3/t18-,19-,21+,22+,23-,24+,25+,26+,27-/m1/s1",Active,"cholest-(25R)-5-en-3beta,26-diol",,402.349781,C27H46O2,,7983972,123976,C06340,HMDB02103
